figure.yr.id,diagnostics
Malawi (National) 2013-2014,"Smear, Culture, Xpert MTB/RIF"
Ethiopia (Dabat District) 2010,Smear
Kenya (Karemo) 2010,"Smear, Culture"
The Gambia (National) 2012-2013,"Smear, Culture"
Tanzania (National) 2011-2012,"Smear, Culture, Xpert MTB/RIF"
Zambia (National) 2013-2014,"Smear, Culture, Xpert MTB/RIF"
Nigeria (National) 2012,"Smear, Culture"
Ethiopia (National) 2010-2011,"Smear, Culture"
Ethiopia (Tigray) 2011,"Smear, Culture"
Zambia (Lusaka Province) 2005,"Smear, Culture"
Uganda (National) 2014-2015,"Smear, Culture, Xpert MTB/RIF"
Namibia (National) 2017-2018,"Culture, Xpert MTB/RIF"
Eswatini (National) 2018-2019,"Culture, Xpert MTB/RIF"
Lesotho (National) 2019,"Culture, Xpert Ultra"
Kenya (National) 2015-2016,"Smear, Culture, Xpert MTB/RIF"
Zimbabwe (National) 2014,"Smear, Culture, Xpert MTB/RIF"
Ethiopia (Hetosa District) 2013,"Smear, Culture"
Ghana (National) 2013,"Smear, Culture, Xpert MTB/RIF"
The Gambia (National) 2011-2013,"Smear, Culture"
Sudan (National) 2013-2014,"Smear, Culture"
Pakistan (National) 2010-2011,"Smear, Culture, Xpert MTB/RIF"
India (Kanpur Nagar District) 2008-2010,"Smear, Culture"
India (Gujarat State) 2011-2012,"Smear, Culture"
India (Wardha District) 2007-2009,"Smear, Culture"
Thailand (National) 2012,"Smear, Culture"
Bangladesh (National) 2007-2009,"Smear, Culture"
Indonesia (National) 2004,"Smear, Culture"
India (Faridabad District) 2008-2009,"Smear, Culture"
India (Jabalpur District) 2009-2010,"Smear, Culture"
Myanmar (National) 2009-2010,"Smear, Culture"
India (Mohali District) 2008-2010,"Smear, Culture"
Myanmar (National) 2017-2018,"Smear, Culture, Xpert Ultra"
DPR Korea (National) 2015-2016,"Smear, Culture"
Bangladesh (National) 2015-2016,"Smear, Culture, Xpert MTB/RIF"
Indonesia (National) 2013-2014,"Smear, Culture, Xpert MTB/RIF"
China (National) 2000,"Smear, Culture"
Viet Nam (National) 2006-2007,"Smear, Culture"
China (Shandong Province) 2010,"Smear, Culture"
China (National) 2010,"Smear, Culture"
Philippines (National) 2007,"Smear, Culture"
Lao Pdr (National) 2010-2011,"Smear, Culture"
Philippines (National) 2016,"Smear, Culture, Xpert MTB/RIF"
Mongolia (National) 2014-2015,"Smear, Culture, Xpert MTB/RIF"
China (Multiple Areas) 2013,"Smear, Culture"
Viet Nam (National) 2017-2018,"Smear, Culture, Xpert MTB/RIF"
China (Xinjiang Uyghur Region) 2010-2011,"Smear, Culture"