Covidence #,Study ID,Title,1.3. Paper Title:,1.4. Publication Year:,3.3. Country(ies) of study:,3.4. Study Setting,3.5. What was the geographic coverage of the study?,figure.id
28646,NationalCenterforTuberculosisandLeprosyControl 2025,"Third National TB Prevalence Survey, Cambodia - Summary Report","Third National TB Prevalence Survey, Cambodia (2023 – 2024)",2025,Cambodia,National,Nationally representative,Cambodia (National) 
28002,Prathiksha 2024,Programmatic implications of a sub-national TB prevalence survey in India,Programmatic implications of a sub-national TB prevalence survey in India,2024,India,Tamil Nadu,"Single area (e.g., province, district, city)",India (Tamil Nadu)
27925,Ong'ang'o 2025,"Persistently high TB prevalence in Nairobi County neighbourhoods, 2015-2022","Persistently high TB prevalence in Nairobi County neighbourhoods, 2015–2022",2025,Kenya,Nairobi county. 9/10 clusters that were included in the previous 2015-16 national TB prevalence survey.,"Single area (e.g., province, district, city)",Kenya (Nairobi County)
26990,Chadha 2019,"Sub-national TB prevalence surveys in India, 2006-2012: Results of uniformly conducted data analysis (Age Stratification, Combined Sites)","Prevalence Survey of Bacillary Pulmonary Tuberculosis in Western Uttar Pradesh, India",2015,India,N/A,Multiple areas (but not nationally representative),India (Multiple Areas) 
26989,FEDERALMINISRTYOFHEALTH-SUDAN 2018,SUDAN TB PREVALENCE SURVEY REPORT 2013 – 2014,Sudan TB Prevalence Survey Report 2013 – 2014,2018,Sudan,"Sudan, situated in the middle of Africa with a land area of 1.8 million km2, shares borders with 7 countries and has an 853 km long coastline along the Red Sea. The population has an annual growth rate of 2.8%, and as projected from the 2008 census is about 33,489,096 (37,289,406 in 
2014) people. Of these, 88% are settled including 32.7% in urban areas, while 8% are nomads. At the time of planning this survey Sudan was comprised of 15 states divided into 184 localities, but 3 more states were added by redistributing the localities of Kordofan and Darfour States.",Nationally representative,Sudan (National) 
26988,Kolappan 2013,"Trends in the prevalence of pulmonary tuberculosis over a period of seven and half years in a rural community in south India with DOTS. SURVEY 2, 2001-2003",Trends in the prevalence of pulmonary tuberculosis over a period of seven and half years in a rural community in south India with DOTS,2013,India,"in the peri-urban district of Tiruvallur, south India, in a TB Unit
(covering 500,000 predominantly rural population) in Tiruvallur area","Single area (e.g., province, district, city)",India (Tiruvallur District)
26987,Kolappan 2013,"Trends in the prevalence of pulmonary tuberculosis over a period of seven and half years in a rural community in south India with DOTS - SURVEY 4, 2006-2008",Trends in the prevalence of pulmonary tuberculosis over a period of seven and half years in a rural community in south India with DOTS,2013,India,"in the peri-urban district of Tiruvallur, south India, in a TB Unit
(covering 500,000 predominantly rural population) in Tiruvallur area","Single area (e.g., province, district, city)",India (Tiruvallur District)
26986,Kolappan 2013,"Trends in the prevalence of pulmonary tuberculosis over a period of seven and half years in a rural community in south India with DOTS. SURVEY 3, 2004-2006",Trends in the prevalence of pulmonary tuberculosis over a period of seven and half years in a rural community in south India with DOTS,2013,India,"in the peri-urban district of Tiruvallur, south India, in a TB Unit
(covering 500,000 predominantly rural population) in Tiruvallur area","Single area (e.g., province, district, city)",India (Tiruvallur District)
26985,Katoch 2015,"Prevalence survey of bacillary pulmonary tuberculosis in Western Uttar Pradesh, India (KANPUR SITE)","Prevalence Survey of Bacillary Pulmonary Tuberculosis in Western Uttar Pradesh, India",2015,India,Kanpur Nagar (population of about 4.2 million) with 32.8% residing in rural and 67.2% in urban areas,"Single area (e.g., province, district, city)",India (Kanpur Nagar District)
26984,Katoch 2015,"Prevalence survey of bacillary pulmonary tuberculosis in Western Uttar Pradesh, India (BANDA SITE)","Prevalence Survey of Bacillary Pulmonary Tuberculosis in Western Uttar Pradesh, India",2015,India,"Western Utter Pradesh (Banda site). In Banda district (1.5 miilion 
residents), 84% of population resided in rural areas while 16% in urban areas","Single area (e.g., province, district, city)",India (Banda District) 
26983,Rade 2013,"SURVEY FOR ASSESSING PREVALENCE OF PULMONARY TUBERCULOSIS CASES IN THE POPULATION BASED STATE OF GUJARAT, INDIA (2011-2012) Report on Population based survey to assess prevalence of pulmonary tuberculosis cases in the state of Gujarat, India (2011-12) Ded","Population Based Survey for Assessing Prevalence of Pulmonary Tuberculosis Cases in the State of Gujarat, India (2011-2012)",2013,India,"Gujarat is one of the leading states in India which is the northern-most maritime state on the West Coast of India. There are total 26 districts and 7 municipal corporations in Gujarat having total 225 talukas. Of the total population, 57.4 per cent lives in rural areas and 42.6 per cent 
resides in urban centres. The Census said Gujarat is the 10th most populous state in the country of India. It has 5 per cent share of the country's population and 6 per cent of geographical area.","Single area (e.g., province, district, city)",India (Gujarat State) 
26982,PratibhaNarang 2015,"Prevalence of pulmonary tuberculosis in Wardha district of Maharashtra, Central India","Prevalence of pulmonary tuberculosis in Wardha district of Maharashtra, Central India",2019,India,"The survey in Wardha district, having a population
of 1.3 million in 2007 was carried out during 2007–
2009. About 70% of the district population resided
in rural areas and was engaged in agrarian occupa-
tions. This district located in central India has a
warm climate with maximum temperatures
between 46 and 48 CC during summer and 15–
30 CC in winter, with limited rainfall. RNTCP is
being implemented from 2002. Between 2002 and
2006, notification rate of new smear positive cases
(NSP) and all TB cases per 100,000 population
increased from 25 to 58 and 45–143 respectively;
and thereafter gradually decreased to 38 and 106
by 2009 [6]. Treatment success rate in NSP cases
registered during 2002–2008 varied between 86%
and 89%. For cases registered in 2009, 7% were
HIV reactive; treatment success was 83% in NSP
and 62% in previously treated cases","Single area (e.g., province, district, city)",India (Wardha District)
26981,Wang 2014,"Tuberculosis prevalence in China, 1990–2010; a longitudinal analysis of national survey data (2000 survey)","Tuberculosis prevalence in China, 1990–2010; 
a longitudinal analysis of national survey data",2014,China,"randomly select 176 investigation points from  within the 31 mainland provinces, municipalities, and autonomous regions (hereafter termed provinces). We  sampled urban and rural sites separately to ensure the the survey had 77 urban and 99 rural investigation points.",Nationally representative,China (National) 
26980,Rao 2019,"Declining tuberculosis prevalence in Saharia, a particularly vulnerable tribal community in Central India: evidences for action (2015 survey)","Declining tuberculosis prevalence in Saharia,
a particularly vulnerable tribal community in
Central India: evidences for action",2019,India,"Saharia is the main tribal community in Shivpuri district,
northwest Madhya Pradesh in central India. They gene-
rally inhabit small clusters of houses - a hamlet called as
‘Saharana’ outside the main village.","Single area (e.g., province, district, city)",India (Saharia Tribal) 
26979,RekhaDevi 2013,Active detection of tuberculosis and paragonimiasis in the remote areas in North-Eastern India using cough as a simple indicator (ASSAM),Active detection of tuberculosis and paragonimiasis in the remote areas in North-Eastern India using cough as a simple indicator,2013,India,"We performed a cross-sectional study between July
2008 and June 2010 in two states, AP and Assam,
located in the NE region of India. in the state of Assam two districts (Sonitpur and Karbi Anglong) were randomly
selected","Single area (e.g., province, district, city)",India (Assam State) 
26978,Ayles 2013,Effect of household and community interventions on the burden of tuberculosis in southern Africa: the ZAMSTAR community-randomised trial (SOUTH AFRICA / COMMUNITY B),"High Prevalence of Tuberculosis and Insufficient Case Detection in Two Communities in the Western Cape, South Africa",2013,South Africa,Community B was geographically located in a different sub-district and had a 98% ‘coloured’ population in 2005 of whom 61% lived in brick houses and 77% were employed.,"Single area (e.g., province, district, city)","South Africa (Western Cape Province, a)"
26975,HealthMinistryofThailand 2012,National Tuberculosis Prevalence Survey in Thailand,"National tuberculosis prevalence surveys in Asia, 1990–2012: an overview of results and lessons learned",2015,Thailand,National survey (but excludes Bangkok),Nationally representative,Thailand (National) 
26973,MINISTRYOFHEALTHVIETNAMNATIONALTUBERCULOSISPROGRAMME 2008,"NATIONAL TB PREVALENCE SURVEYIN VIETNAM, 2006 - 2007 (DRAFT REPORT)",National survey of tuberculosis prevalence in Viet Nam,2010,Viet Nam,National,Nationally representative,Viet Nam (National)
26972,Datiko 2019,Sub-national prevalence survey of tuberculosis in rural communities of Ethiopia (SHEBEDINO),Sub-national prevalence survey of tuberculosis in rural communities of Ethiopia,2019,Ethiopia,"Abeshige district is located in Gurage zone. It has a population of 73,817 living in 26 kebeles (the lowest administrative unit with an average population of five thousand). The study was conducted in seven villages of the district after 19 years of DOTS implementation. Lemo district is located in Hadiya zone. It has a population of 144,244 living in 33 kebeles. The study was conducted in five communities with a population of 21,224 people. A prior prevalence survey was conducted in the districts ten years before this current follow up study. A previous prevalence study was conducted in 2003 after eight years of DOTS implementation. Shebedino district is located in Sidama zone. It has a population of 261,128 living in 32 kebeles. This district is among the 19 districts of Sidama zone where innovative community-based TB intervention funded by TB-REACH initiative was implemented for two years. The study was conducted in five villages with 17,466 people.",Multiple areas (but not nationally representative),Ethiopia (Shebedino District)
26971,Datiko 2019,Sub-national prevalence survey of tuberculosis in rural communities of Ethiopia (LEMU),Sub-national prevalence survey of tuberculosis in rural communities of Ethiopia,2019,Ethiopia,"Lemo district is located in Hadiya zone. It has a
population of 144,244 living in 33 kebeles. The study
was conducted in five communities with a population of
21,224 people. A prior prevalence survey was conducted
in the districts ten years before this current follow up
study. A previous prevalence study was conducted in
2003 after eight years of DOTS implementation.",Multiple areas (but not nationally representative),Ethiopia (Lemu District)
26970,Ayles 2013,"High prevalence of tuberculosis and insufficient case detection in two communities in the Western Cape, South Africa","High Prevalence of Tuberculosis and Insufficient Case Detection in Two Communities in the Western Cape, South Africa",2013,South Africa,Two communities in the Western Cape. Pre-ZAMSTAR trial,Multiple areas (but not nationally representative),"South Africa (Western Cape Province, b)"
26969,MinistryofHealthMalawi 2016,Findings from the First Malawi TB Prevalence Survey,Malawi Tuberculosis Prevalence Survey,2016,Malawi,"The survey started from cross-sectional household census in 74 clusters in rural, urban and semi-urban areas",Nationally representative,Malawi (National)
26957,Zaman 2006,Prevalence of sputum smear-positive tuberculosis in a rural area in Bangladesh,Prevalence of sputum smear-positive tuberculosis in a rural area in Bangladesh,2006,Bangladesh,"The study was conducted in rural Bangladesh at Matlab, where the International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDR,B) has been maintaining a field research project since 1963. Matlab is a low-lying riverine area which lies 45 km south-east of Dhaka, the capital of Bangladesh. The principal occupations in the Matlab area are farming and fishing.","Single area (e.g., province, district, city)",Bangladesh (Matlab)
26956,Zaman 2012,"Prevalence of smear-positive tuberculosis in persons aged >/= 15 years in Bangladesh: results from a national survey, 2007-2009","Prevalence of smear-positive tuberculosis in persons aged >/= 15 years in Bangladesh: results from a national survey, 2007-2009",2011,Bangladesh,excludes Chittagong Hill due to security concerns,Nationally representative,Bangladesh (National) 
26955,Yimer 2009,Evaluating an active case-finding strategy to identify smear-positive tuberculosis in rural Ethiopia,Evaluating an active case-finding strategy to identify smear-positive tuberculosis in rural Ethiopia,2009,Ethiopia,"12 of 43 Kebeles in Mecha District, West Gojam Zone of the Amhara Region, Ethiopia (Figure). The district lies 40 km from the regional capital, Bahir Dar,","Single area (e.g., province, district, city)",Ethiopia (Mecha District) 
26953,Wood 2007,Undiagnosed tuberculosis in a community with high HIV prevalence: implications for tuberculosis control,Undiagnosed tuberculosis in a community with high HIV prevalence: implications for tuberculosis control,2007,South Africa,"The study community comprised 13,000 black African individuals living mainly in shacks in a high-density residential area sited within well-demarcated boundaries, where unemployment exceeds 50% (20). The estimated mid-2005 adult population (14 yr) was derived from a household survey performed in December 2004, adjusted for population
growth. There is a single public-sector primary care clinic, which incorporates voluntary HIV counseling and testing, and a TB clinic for the diagnosis and management of TB in accordance with the South African national TB control program protocols.","Single area (e.g., province, district, city)","South Africa (Western Cape Province, c)"
26951,Wei 2014,Changes in pulmonary tuberculosis prevalence: Evidence from the 2010 population survey in a populous province of China,Changes in pulmonary tuberculosis prevalence: evidence from the 2010 population survey in a populous province of China,2014,China,35 clusters within 17 prefectures in Shandong province,"Single area (e.g., province, district, city)",China (Shandong Province)
26950,Wang 2013,Analysis of tuberculosis screening results in six remove villages in Yunnan Province,Analysis of tuberculosis screening results in six remote villages in Yunnan Province,2013,China,Six remote villages in Yunnan Province,Multiple areas (but not nationally representative),China (Yunnan Province)
26949,Wang 2014,"Tuberculosis prevalence in China, 1990-2010; a longitudinal analysis of national survey data","Tuberculosis prevalence in China, 1990–2010; a longitudinal analysis of national survey data",2014,China,"randomly select 176 investigation points from  within the 31 mainland provinces, municipalities, and autonomous regions (hereafter termed provinces). We  sampled urban and rural sites separately to ensure the survey had 77 urban and 99 rural investigation points.",Nationally representative,China (National) 
26948,Vree 2007,Low tuberculosis notification in mountainous Vietnam is not due to low case detection: a cross-sectional survey,Low tuberculosis notification in mountainous Vietnam is not due to low case detection: a cross-sectional survey,2007,Viet Nam,"The Central Highlands are at an altitude between 500 meter and 2442 meter above sea level. The population of the Central Highlands was around 4.7 million in 2003 [6]. It is one of the poorest geographic regions in Vietnam and is bordering Laos. HIV prevalence was low at the end of 2004 with 31/100,000 population [7].","Single area (e.g., province, district, city)",Viet Nam (Central Highlands)
26947,van'tHoog 2011,High prevalence of pulmonary tuberculosis and inadequate case finding in rural western Kenya,High prevalence of pulmonary tuberculosis and inadequate case finding in rural western Kenya,2011,Kenya,"a rural population of approximately 134,000 people in Nyanza Province in western Kenya (the Asembo area of Rarieda District and the Gem District)","Single area (e.g., province, district, city)",Kenya (Asembo Area) 
26946,Tupasi 1999,The 1997 nationwide tuberculosis prevalence survey in the Philippines,The 1997 Nationwide Tuberculosis Prevalence Survey in the Philippines,1999,Philippines,national,Nationally representative,Phillipines (National)
26944,Tupasi 2009,Significant decline in the tuberculosis burden in the Philippines ten years after initiating DOTS,Significant decline in the tuberculosis burden in the Philippines ten years after initiating DOTS,2009,Philippines,"Six cities within Metro Manila, 18 other urban areas and 26 provinces in the 
rural areas were selected. From each, a barangay (village) was chosen by PPS (proportional to the size).",Nationally representative,Phillipines (National)
26943,Thorson 2004,"Do women with tuberculosis have a lower likelihood of getting diagnosed? Prevalence and case detection of sputum smear positive pulmonary TB, a population-based study from Vietnam","Do women with tuberculosis have a lower likelihood of getting diagnosed? Prevalence and case detection of sputum smear positive pulmonary TB, a population-based study from Vietnam",2004,Viet Nam,"The study was carried out during April–June 2000, in the Bavi District, Ha Tay province in north-west Vietnam, where a population-based sociodemographic survey (hereafter called FilaBavi) has been set up.","Single area (e.g., province, district, city)",Viet Nam (Bavi District) 
26942,Tadesse 2011,Two-thirds of smear-positive tuberculosis cases in the community were undiagnosed in Northwest Ethiopia: population based cross-sectional study,Two-thirds of smear-positive tuberculosis cases in the community were undiagnosed in Northwest Ethiopia: population based cross-sectional study,2011,Ethiopia,"The study was conducted at Dabat Health and Demographic Surveillance System (HDSS) hosted by the University of Gondar located at Dabat district in Northwest Ethiopia. Dabat district has an estimated population of 145,458 living in 27 rural and 3 urban Kebeles (the smallest administrative unit in Ethiopia). The local communities are largely depend on subsistence agriculture economy. The district has two health centers, three health stations, and twenty-nine health posts providing health services for the community. Only the two health centers provide DOTS for TB cases.","Single area (e.g., province, district, city)",Ethiopia (Dabat District) 
26940,Soemantri 2007,Three-fold reduction in the prevalence of tuberculosis over 25 years in Indonesia,"Three-fold reduction in the prevalence of tuberculosis 
over 25 years in Indonesia",2007,Indonesia,"The 2004 survey was carried out by cluster randomised
sampling, as part of the NHHS covering all 30 prov-
inces in Indonesia",Nationally representative,Indonesia (National) 
26939,Sharma 2015,"Prevalence of tuberculosis in Faridabad district, Haryana State, India","Prevalence of tuberculosis in Faridabad district, Haryana State, India",2015,India,"The Faridabad district has a population of 2,194,586 
people, growing at a rate of 48.47 per cent as recorded 
over the last decade, with a sex ratio of 839 females per 
1000 males14. More than half (56%) of the people reside 
in the urban areas and almost a third are illiterate. The 
Revised National Tuberculosis Programme was adopted 
in Faridabad district in April 200015. Currently, there are 
four treatment units in the district at Ballabgarh, Palwal, 
Hodal and Faridabad city besides the 21 designated 
microscopy centers. In this cross-sectional study, 
residents of Faridabad district were assessed for the 
prevalence of tuberculosis.","Single area (e.g., province, district, city)",India (Faridabad District) 
26938,Shargie 2006,Prevalence of smear-positive pulmonary tuberculosis in a rural district of Ethiopia,Prevalence of smear-positive pulmonary tuberculosis in a rural district of Ethiopia,2006,Ethiopia,"The survey was conducted in February 2003 in Lemo woreda (a rural district), in the Hadiya zone of South-ern Ethiopia. Lemo has 53 kebeles (the lowest administrative units) and a population of 206 000.","Single area (e.g., province, district, city)",Ethiopia (Lemo District) 
26937,Sekandi 2009,"Active case finding of undetected tuberculosis among chronic coughers in a slum setting in Kampala, Uganda","Active case finding of undetected tuberculosis among chronic coughers in a slum setting in Kampala, Uganda",2009,Uganda,"The slum is located in Kisenyi Parish II, an administrative unit that is composed of 10 small villages of about 1000 persons each. The slum is served by a public health clinic located about 5 km from its centre. The clinic offers free primary healthcare, including TB diagnostic and treatment services. Kisenyi Parish II was purposively selected because it is over-crowded and therefore potentially at high risk for communicable diseases such as TB.","Single area (e.g., province, district, city)",Uganda (Kisenyi)
26936,Sekandi 2014,Yield of undetected tuberculosis and human immunodeficiency virus coinfection from active case finding in urban Uganda,"Yield of undetected tuberculosis and human 
immunodeficiency virus coinfection from active 
case finding in urban Uganda",2014,Uganda,"We conducted a door-to-door cross-sectional survey of chronic cough in the Rubaga community located in Kampala City, Uganda, from January 2008 to June 2009. The division is subdivided into 13 parishes and 128 villages, with approximately 75 485 households and 400 000 people. About 50% of the population are adults aged ⩾15 years.22 Individuals can access TB and HIV diagnostic services from two public health centres free of charge or two tertiary private hospitals for a fee. Free treatment is provided in both private and public facilities.","Single area (e.g., province, district, city)",Uganda (Rubaga)
26935,Sebhatu 2007,Determining the burden of tuberculosis in Eritrea: a new approach,Determining the burden of tuberculosis in Eritrea: a new approach,2007,Eritrea,"Eritrea is located in the Horn of Africa. The country had a population of 
3,158,590 in 2004. Eighty percent of the population works in the agricultural sector. Eritrea is divided into six zobas, which are split into 57 sub-zobas and 699 administrative areas. Each administrative area comprises several villages.",Nationally representative,Eritrea (National)
26933,Romero-Sandoval 2007,Pulmonary tuberculosis in an indigenous community in the mountains of Ecuador,Pulmonary tuberculosis in an indigenous community in the mountains of Ecuador,2007,Ecuador,"Chine is located 250 km from Quito, at an altitude of 3500 m. The 653 inhabitants are mainly Spanish- speaking, and are descended from the Panzaleos and Puruhaes ethnic aboriginal groups.9 Chine is 2 h walk from the nearest road. Except for electricity, there are no basic services (running water, toilets, etc.) The main economic activities in Chine are agriculture and the raising of sheep, pigs and smaller animals for private consumption. ","Single area (e.g., province, district, city)",Ecuador (Chine)
26932,RekhaDevi 2013,Active detection of tuberculosis and paragonimiasis in the remote areas in North-Eastern India using cough as a simple indicator,Active detection of tuberculosis and paragonimiasis in the remote areas in North-Eastern India using cough as a simple indicator,2013,India,"We performed a cross-sectional study between July
2008 and June 2010 in two states, AP and Assam,
located in the NE region of India. In AP, which is
predominantly a hilly state, six districts (Changlang,
East Kameng, East Siang, Lohit, Tirap, and West
Kameng) were randomly
selected","Single area (e.g., province, district, city)",India (Andhra Pradesh State) 
26931,Rao 2010,"Pulmonary tuberculosis: a public health problem amongst the Saharia, a primitive tribe of Madhya Pradesh, Central India","Pulmonary tuberculosis: a public health problem amongst the Saharia, a primitive tribe of Madhya Pradesh, Central India",2010,India,"The study was carried out in the Karhal block, Sheopur District
from November 2007 to March 2008. Karhal is situated about
40 km from the District headquarters. The terrain is difficult, with
most of the villages located in remote jungle areas having poor
connectivity by road, which remain cut off from the surrounding
areas during the rainy season.","Single area (e.g., province, district, city)",India (Karachal)
26930,Rao 2010,"Prevalence of pulmonary tuberculosis among the Bharia, a primitive tribe of Madhya Pradesh, central India","Prevalence of pulmonary tuberculosis among the Bharia, a primitive tribe of Madhya Pradesh, central India",2010,India,"The study was carried out in the villages of the Patalkot valley of Chhindwara District, Madhya Pradesh, from January to April 2008. Patalkot is a bow-shaped formation on the Satpura plateau, 62 km from the district headquarters, and spreads over an area of 79 km2","Single area (e.g., province, district, city)",India (Patalkot)
26929,Rao 2012,Prevalence of pulmonary tuberculosis--a baseline survey in central India,Prevalence of Pulmonary Tuberculosis - A Baseline Survey In Central India,2012,India,"This cross sectional study was conducted in the urban and rural populations of Jabalpur district from January 2009 to January 2010. There are four taluqs (sub-divisions) and 1386 villages in the district. The total area of the district is 10,160 Km2, with a population of over 2.1 million (2001 census). The proportion of rural and urban population in the district is 43% and 57% respectively.","Single area (e.g., province, district, city)",India (Jabalpur District)
26928,,Prevalence of pulmonary tuberculosis among the adult population in Pakistan 2010-2011,Prevalence of pulmonary tuberculosis among the adult population of Pakistan 2010-2011,2013,Pakistan,Pakistan ranks 5th amongst the 22 highest tuberculosis (TB) burden countries. ,Nationally representative,Pakistan (National) 
26924,Nduba 2015,"Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs","Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs",2015,Kenya,"Demographic and Health Survey site at Karemo Division, Siaya District, Nyanza Province, in western Kenya. ","Single area (e.g., province, district, city)",Kenya (Karemo)
26920,MinistryofHealthandSocialWelfare-TheGambia 2014,The Gambian survey of tuberculosis prevalence (GAMSTEP),The Gambian Survey of Tuberculosis Prevalence (GAMSTEP),2014,The Gambia,National,Nationally representative,The Gambia (National)
26919,MinistryofHealthandSocialWelfare-Tanzania 2013,"Prevalence of pulmonary tuberculosis in adult population of Tanzania: a national survey, 2012","Prevalence of pulmonary tuberculosis in adult population of Tanzania: a national survey, 2012",2016,United Republic of Tanzania,National,Nationally representative,Tanzania (National)
26918,MinistryofHealth-Zambia 2015,The prevalence of HIV among adults with pulmonary TB at a population level in Zambia,Zambia National Tuberculosis Prevalence Survey 2013-2014 Technical Report,NA,Zambia,National,Nationally representative,Zambia (National) 
26917,,"First national TB prevalence survey 2012, Nigeria","Report First National TB Prevalence Survey 2012, Nigeria",N/A,Nigeria,National,Nationally representative,Nigeria (National)
26916,,Sputum positive point prevalence survey (1994),Sputum positive point prevallence survey,1994,Myanmar,Three stratum. 1) Yangon -inner and outer. 2) Urban areas of 28 districts 3) Rural areas of 28 districts.,Nationally representative,Myanmar (National) 
26915,,"Report on national TB prevalence survey 2009-2010, Myanmar","Report on National TB Prevalence Survey 2009-2010, Myanmar",2010,Myanmar,"The National TB Prevalence Survey was a nationwide, community-based cross-sectional survey of the adult population 
aged 15 years or above",Nationally representative,Myanmar (National) 
26913,MinistryofHealth-Ethiopia 2011,"The first population-based national tuberculosis prevalence survey in Ethiopia, 2010-2011","The first population-based national tuberculosis prevalence survey in Ethiopia, 2010-2011",2014,Ethiopia,"Nationaly representative consisting of:
Urban population: 14 clusters 
Rural population: 63 clusters 
Pastoralist population: 8 clusters",Nationally representative,Ethiopia (National)
26912,MinistryofHealth-Cambodia 2005,"Report of the national TB prevalence survey, 2002","National TB Prevalence Survey, 2022. Cambodia",2005,Cambodia,"Cambodia, a country with a population of only around 13 million, has been designated by 
World Health Organization (WHO) as one of the 22 high burden countries of tuberculosis (TB). 
Its incidence rate of 573/100,000 estimated by WHO in 2001 ranks 8 in the world while the 
remaining top ten countries are found in Africa. T",Nationally representative,Cambodia (National) 
26911,Middelkoop 2010,Antiretroviral program associated with reduction in untreated prevalent tuberculosis in a South African township,Antiretroviral Program Associated with Reduction in Untreated Prevalent Tuberculosis in a South African Township,2010,South Africa,"The residents of this community were of predominantly poor socioeconomic status, with high unemployment rates and overcrowded living conditions.","Single area (e.g., province, district, city)",South Africa (Western Cape Province)
26910,Mao 2014,Cross-sectional studies of tuberculosis prevalence in Cambodia between 2002 and 2011,"Cross-sectional studies of tuberculosis prevalence in Cambodia 
between 2002 and 2011",2014,Cambodia,"First the country was stratified into urban, rural and remote areas. Within each stratum, first districts, then communes and finally villages were selected, with sampling probability proportional to size, based on the 2008 population census.Accordingly, 13 clusters from urban areas, 47 clusters from rural areas and two clusters from remote areas were selected.",Nationally representative,Cambodia (National) 
