Covidence #,Study ID,Title,1.3. Paper Title:,1.4. Publication Year:,3.3. Country(ies) of study:,3.4. Study Setting,3.5. What was the geographic coverage of the study?,figure.id
26909,Lorent 2014,"Community-based active tuberculosis case finding in poor urban settlements of Phnom Penh, Cambodia: a feasible and effective strategy","Community-based active tuberculosis case finding in poor urban settlements of Phnom Penh, Cambodia: a feasible and effective strategy",2014,Cambodia,"We targeted communities with a presumed high prevalence of undiagnosed TB and/or restricted access to TB services. These included a heterogeneous group of slum dwellers, dump-site communities, migrants, factory workers, and displaced populations, the majority living in informal temporary or unstructured settlements. We selected the communities through purposeful sampling after consultation with health managers and municipal authorities. Community leaders, who were willing to participate, then identified the poorest or most hard-to-reach.","Single area (e.g., province, district, city)",Cambodia (Phnom Penh)
26906,Legesse 2013,"Community-based prevalence of undiagnosed mycobacterial diseases in the Afar Region, north-east Ethiopia","Community-based prevalence of undiagnosed mycobacterial diseases in the Afar Region, north-east Ethiopia",2013,Ethiopia,"Amibara district, north-east Ethiopia. The region has a total population of 1,411,092, with an estimated area of 96,707 square kilometers. The Amibara District is located in the Middle Awash valley, about 260 km to the north-east of Addis Ababa. The district has 18 kebeles (small administrative units), of which 4 are semi-towns, while the rest are pastoral kebeles.","Single area (e.g., province, district, city)",Ethiopia (Amibara District) 
26905,Law 2015,The first national TB prevalence survey of Lao PDR (2010-2011),The first national TB prevalence survey of Lao PDR (2010-2011),2015,Lao PDR,"Lao PDR is a landlocked country, and although not among the highest TB burden countries globally, it is geographically surrounded by them, that is Cambodia, China, Myanmar, Thailand and Vietnam. Lao PDR, with a population of 6.3 million (2011), is also one of the poorest countries in South East Asia, but has moved from being a lower- to a lower-middle-income economy with a gross national income of USD 1090 (2011) per capita. Life expectancy at birth is 67 years, and the under-5 mortality rate is 42 per 1000 live births (2011).",Nationally representative,Lao Pdr (National)
26904,Kolappan 2013,Trends in the prevalence of pulmonary tuberculosis over a period of seven and half years in a rural community in south India with DOTS,Trends in the prevalence of pulmonary tuberculosis over a period of seven and half years in a rural community in south India with DOTS,2013,India,"Our study was conducted in a TB Unit
(covering 500,000 predominantly rural population)
in Tiruvallur area. ","Single area (e.g., province, district, city)","India (Tiruvallur District, B)"
26901,Joshi 2005,Prevalence of pulmonary tuberculosis in far Western Nepal,Prevalence of pulmonary tuberculosis in far Western Nepal,2005,Nepal,ward no. 13 of Mahendra Nagar municipality of Kanchanpur district,"Single area (e.g., province, district, city)",Nepal (Ward 13 Mahendra Nagar Municipality) 
26899,Horie 2007,"A survey of tuberculosis prevalence in Hanoi, Vietnam","A survey of tuberculosis prevalence in Hanoi, Vietnam",2007,Viet Nam,"Hanoi, Vietnam","Single area (e.g., province, district, city)",Viet Nam (Hanoi City) 
26896,HamidSalim 2004,Gender differences in tuberculosis: a prevalence survey done in Bangladesh,Gender differences in tuberculosis: a prevalence survey done in Bangladesh,2004,Bangladesh,Bangladesh national tuberculosis control programme districts supported by the Belgian Damien Foundation,Multiple areas (but not nationally representative),Bangladesh (Multiple Areas) 
26895,Guwatudde 2003,"Burden of tuberculosis in Kampala, Uganda","Burden of tuberculosis in Kampala, Uganda",2003,Uganda,"Kawempe division is one of the five administrative divisions of Kampala city, covers an area of approximately 30 km2, and has an estimated population of 245 015 inhabitants (16). It is composed of 18 parishes, each made up of 3–7 villages. The district is also home to Mulago Hospital and two public health care clinics. Mulago Hospital tuberculosis clinic is a referral treatment centre for this division and the country.","Single area (e.g., province, district, city)",Uganda (Kampala)
26894,Gupta 2013,Prevalence of tuberculosis in a rural population aged 15 years and above in R.S. pura block of district JAMMU,PREVALENCE OF TUBERCULOSIS IN A RURAL POPULATION AGED 15 YEARS AND ABOVE IN R.S. PURA BLOCK OF DISTRICT JAMMU,2013,India,"The study was carried out in the block R.S. Pura which is a field practice area of Government Medical College, Jammu. There are 176 villages and town in the block with an estimated population of 1,79,636.[sic] R.S. Pura block is located in the southwest of Jammu city adjacent to India-Pakistan border with a total area of 273 sqkm and average density of 658 per sqkm.","Single area (e.g., province, district, city)","India (R.S. Pura Block, Jammu City) "
26893,Gopi 2003,A baseline survey of the prevalence of tuberculosis in a community in south India at the commencement of a DOTS programme,A baseline survey of the prevalence of tuberculosis in a community in south India at the commencement of a DOTS programme,2003,India,"adults aged 15 years residing in the five panchayat unions (blocks) of Ellapuram, Kadambathur, Poondi, Tiruvallur and Tiruvalangadu in the BCG trial area (Tiruvallur district).","Single area (e.g., province, district, city)",India (Tiruvallur District)
26892,Gasana 2014,Prevalence of tuberculosis in Rwanda: Results of the first nationwide survey in 2012 yielded important lessons for TB control,Prevalence of tuberculosis in Rwanda: Results of the first nationwide survey in 2012 yielded important lessons for TB control,2020,Rwanda,National,Nationally representative,Rwanda (National) 
26891,Dhanaraj 2015,Prevalence and risk factors for adult pulmonary tuberculosis in a metropolitan city of south India,Prevalence and risk factors for adult pulmonary tuberculosis in a metropolitan city of south India,2015,India,"randomly selected wards (clusters) of Chennai city. A ‘ward’ is the smallest administrative unit in the city, with a population of approximately 45,000. A total of 100 wards were selected from the 155 wards of the Chennai City Corporation. A ward consists of both slum (defined as a compact area of at least 300 population or about 60–70 households of poorly built congested tenements, in unhygienic environment usually with inadequate infrastructure and lacking in proper sanitary and drinking water facilities) and non-slum areas. ","Single area (e.g., province, district, city)",India (Chennai)
26890,Deribew 2012,Prevalence of pulmonary TB and spoligotype pattern of Mycobacterium tuberculosis among TB suspects in a rural community in Southwest Ethiopia,Prevalence of pulmonary TB and spoligotype pattern of Mycobacterium tuberculosis among TB suspects in a rural community in Southwest Ethiopia,2012,Ethiopia,"Gilgel Gibe field research cen-
tre, located in Jimma Zone about 260 km Southwest of
Addis Ababa around the reservoir of the Gilgel Gibe
hydroelectric dam. The site is bounded by four districts
(Woredas): Sekoro, Omo-Nada, Tiro- Afeta and Kersa.
In the four Woredas, two urban and eight rural Kebeles
(smallest administrative units), were selected as field
research center by Jimma University in 2005. They are
found within 10 km of the reservoir of the dam. Since
2005, demographic and AIDS mortality surveillances has
been undertaken by Jimma University in the research
center. ","Single area (e.g., province, district, city)",Ethiopia (Jimma Zone)
26888,Demissie 2002,A rapid survey to determine the prevalence of smear-positive tuberculosis in Addis Ababa,A rapid survey to determine the prevalence of smear-positive tuberculosis in Addis Ababa,2002,Ethiopia,"District (Wereda 16) of Addis Ababa is a
typical wereda of Addis Ababa, featuring both nor-
mal and slum residential areas. Among the 13 kebeles
(lowest administrative units) in the district, four were randomly selected for the survey","Single area (e.g., province, district, city)","Ethiopia (District 16, Addis Ababa) "
26887,Corbett 2010,"Comparison of two active case-finding strategies for community-based diagnosis of symptomatic smear-positive tuberculosis and control of infectious tuberculosis in Harare, Zimbabwe (DETECTB): a cluster-randomised trial","Comparison of two active case-finding strategies for community-based diagnosis of symptomatic smear-positive tuberculosis and control of infectious 
tuberculosis in Harare, Zimbabwe (DETECTB): a cluster-randomised trial",2010,Zimbabwe,"46 neighbourhood urban clusters in Harare, enumerated for a cluster randomised trial","Single area (e.g., province, district, city)",Zimbabwe (Harare)
26886,Corbett 2009,"Prevalent infectious tuberculosis in Harare, Zimbabwe: burden, risk factors and implications for control","Prevalent infectious tuberculosis in Harare, Zimbabwe: burden, risk factors and implications for control",2009,Zimbabwe,"Harare, Zimbabwe","Single area (e.g., province, district, city)",Zimbabwe (Harare)
26884,Chadha 2012,Prevalence of pulmonary tuberculosis among adults in a rural sub-district of South India,Prevalence of Pulmonary Tuberculosis among Adults in a Rural Sub-District of South India,2012,India,Nelamangala is one of the four sub-divisions in Bangalore rural district. This district is located adjacent to Bangalore city which is the capital of Karnataka state in southern India.,"Single area (e.g., province, district, city)",India (Nelamangala Sub-Division) 
26883,Bjerregaard-Andersen 2009,Tuberculosis burden in an urban population: A cross sectional tuberculosis survey from Guinea Bissau,Tuberculosis burden in an urban population: a cross sectional tuberculosis survey from Guinea Bissau,2010,Guinea-Bissau,"Bandim Health Project (BHP), Bissau, Guinea-Bissau in West Africa, a Demographic Surveillance Site. The BHP is a Danish-Guinean research station, with a study area consisting of 6 suburban districts in the capital Bissau and a total study population of 92,000.","Single area (e.g., province, district, city)",Guinea-Bissau (Bissau)
26882,Bhat 2009,"Prevalence of pulmonary tuberculosis amongst the tribal population of Madhya Pradesh, Central India","Prevalence of pulmonary tuberculosis
amongst the tribal population of Madhya
Pradesh, central India",2009,India,Tribal Population in 11 districts in villages of Madhya Pradesh ,Multiple areas (but not nationally representative),India (Madhya Pradesh Tribal)
26881,Berhe 2013,Population-based prevalence survey of tuberculosis in the Tigray region of Ethiopia,Population-based prevalence survey of tuberculosis in the Tigray region of Ethiopia,2013,Ethiopia,"Tigray Region is the northernmost of the nine regions of Ethiopia and it is the homeland of the Tigray people. Excluding Mekelle town, the state capital, there are seven administrative zones: comprising a total of 47 districts and 673 Kebelles (smallest administrative unit).
Based on the 2007 census projection, Tigray has an estimated total population of 4.8 million people over an area of 50,078.64 square kilometers). Most (80.5%) of the population live in rural, while 19.5% are urban dwellers. According to the 2008 Health and Health Related Indicators published by the Federal Ministry of Health Tigray region had 15 hospitals, 123 health centers, 182 health stations and 614 health posts. This study was carried out in 16 randomly selected districts including six urban and ten rural districts.","Single area (e.g., province, district, city)",Ethiopia (Tigray)
26880,Basta 2010,Tuberculosis among the Xavante Indians of the Brazilian Amazon: an epidemiological and ethnographic assessment,Tuberculosis among the Xavante Indians of the Brazilian Amazon: An epidemiological and ethnographic assessment,2010,Brazil,"Residents in one village in Pimentel Barbosa Indigenous Reserve in the state of Mato Grosso in the Amazon rainforest. Pimentel Barbosa Indigenous Reserve, state of Mato Grosso, Central Brazil","Single area (e.g., province, district, city)",Brazil (Pimentel Barbosa Tribal)
26879,Basta 2006,"Survey for tuberculosis in an indigenous population of Amazonia: the Surui of Rondonia, Brazil","Survey for tuberculosis in an indigenous population
of Amazonia: the Suru´ı of Rondˆonia, Brazil",2005,Brazil,"Tupi-Monde-speaking indigenous society ´
located at the Sete de Setembro Indian Reserve, municipality of Cacoal, state of Rondonia, south-west Brazilian Amazonia. A field clinic was established in every village and free
medical examinations were provided to all willing subjects
","Single area (e.g., province, district, city)",Brazil (Sete De Setembro Reserve) 
26878,Banu 2013,"Epidemiology of tuberculosis in an urban slum of Dhaka City, Bangladesh","Epidemiology of Tuberculosis in an Urban Slum of Dhaka City, Bangladesh",2013,Bangladesh,"A densely populated low income urban slum (Mirpur slum) in Dhaka, Bangladesh. Mirpur is one of the 41 thanas of Dhaka City with a population of
about one million in an area of 59 square kilometers. Mirpur
Thana is divided into 14 sections and we conducted the activities
of this project in section 11. The population of section 11 is
approximately 50,000. There are several camps in Section 11 and
these are inhabited by poor and lower middle class families,
residential and sanitary conditions are typical of any congested
urban settlement.","Single area (e.g., province, district, city)","Bangladesh (Mirpur, Dhaka City)"
26875,Ayles 2013,Effect of household and community interventions on the burden of tuberculosis in southern Africa: the ZAMSTAR community-randomised trial,"Prevalence of Tuberculosis, HIV and Respiratory Symptoms in Two Zambian Communities: Implications for Tuberculosis Control in the Era of HIV",2009,Zambia,"The study was conducted in 2 sites (each a political division called a ward) in 2 districts of Lusaka Province of Zambia. The sites were purposively selected to represent rural and urban communities. The rural community has a major road running through it, but otherwise consists of small villages with subsistence farming as the major occupation. The urban community is representative of many such urban settlements in the major towns of Zambia, but not as crowded as the high-density areas in the capital, Lusaka",Multiple areas (but not nationally representative),Zambia (Lusaka Province)
26874,Alvi 1998,Prevalence of pulmonary tuberculosis on the roof of the world,Prevalence of pulmonary tuberculosis on the roof of the world ,1998,Pakistan,"The Shimshal Valley, a remote village in Northern Pakistan, is one of the seven Pamirs of Central
Asia, widely known as the roof of the world.","Single area (e.g., province, district, city)",Pakistan (Shimshal Valley) 
26873,Akhtar 2007,"Hyperendemic pulmonary tuberculosis in peri-urban areas of Karachi, Pakistan","Hyperendemic pulmonary tuberculosis in peri-urban areas of Karachi, Pakistan ",2007,Pakistan ,"The study was conducted in two low-income per-urban neighborhoods (Rehri Goth and Baba Island) in Karachi, Pakistan. Karachi is a major economic center of Pakistan, a cosmopolitan city characterized by having very affluent to low-income marginal neighborhoods with little access to the health care system. ","Single area (e.g., province, district, city)",Pakistan (Karachi)
26872,Aggarwal 2015,Prevalence of pulmonary tuberculosis among adults in a north Indian district,Prevalence of Pulmonary Tuberculosis among Adults in a North Indian District,2015,India,"Mohali district, Punjab, North India","Single area (e.g., province, district, city)",India (Mohali District) 
26870,Ministryofhealth|TheRepublicofUganda 2015,"The Uganda National Tuberculosis Prevalence Survey, 2014-2015","The Uganda National Tuberculosis Prevalence Survey, 2014-2015, Survey Report",N/A,Uganda,National,Nationally representative,Uganda (National) 
26869,Ministryofhealthandsocialservices 2019,"Namibia Tuberculosis disease prevalence survey, 2017-2018",Namibia Tuberculosis Disease Prevalence Survey 2019,2019,Namibia,"Namibia is located in South-west Africa and has a land surface area of 824,295 km2
making it Africa’s fifth largest country.",Nationally representative,Namibia (National)
26868,DepartmentofHealth|RepublicofPhilippines 2016,"NATIONAL TUBERCULOSIS PREVALENCE SURVEY 2016, PHILIPPINES",High TB burden and low notification rates in the Philippines: The 2016 national TB prevalence survey,2021,Philippines,National prevalence survey,Nationally representative,Philippines (National) 
26867,MinistryofHealthandPopulationofNepal 2020,"NATIONAL TUBERCULOSIS PREVALENCE SURVEY REPORT, Nepal, 2018-19","NATIONAL TUBERCULOSIS PREVALENCE SURVEY REPORT, Nepal, 2018-19",2020,Nepal,"The first National TB Prevalence Survey was a nationwide, community-based cross-sectional survey that 
targeted the population aged 15 years and above",Nationally representative,Nepal (National) 
26866,MinisteryofhealthofMongolia 2016,"REPORT OF THE FIRST NATIONALTUBERCULOSIS PREVALENCE SURVEYIN MONGOLIA2014-2015",Report of the First National Tuberculosis Prevalence Survey in Mongolia (2014-2015),2016,Mongolia,National,Nationally representative,Mongolia (National)
26865,MinistryofHealth 2020,"Eswatini National Tuberculosis Prevalence Survey Report, 2018-2019",Eswatini National Tuberculosis Prevalence Survey Report,2020,Eswatini,"Randomly selected clusters were distributed proportionately to country population over the four regions of Eswatini stratified to accurately represent rural and urban areas. 
The country consists of four regions, namely Hhohho, Manzini, Shiselweni and Lubombo. Each region is 
administratively divided into constituencies which are further subdivided into EAs and classified as either rural or 
urban. The sample was drawn as self-weighing sample assigning clusters to the 4 regions proportionate to 
population size. In each region, clusters were randomly selected using the latest mapping of the enumeration 
areas (EAs) from the 2017 census. This resulted in a total of 70 clusters",Nationally representative,Eswatini (National)
26864,MinistryofHealthandSports 2018,Fourth National Tuberculosis Prevalence Survey Report (2017-2018) Myanmar,Fourth National Tuberculosis Prevalence Survey Report (2017-2018) Myanmar,2020,Myanmar,"Myanmar has been designated as one of the 30 countries with a high TB burden under the End TB Strategy of the World Health Organization (WHO), and bears a triple burden of drug-susceptible TB, drug-resistant TB and HIV-
associated TB",Nationally representative,Myanmar (National) 
26863,MinistryofHealthandFamilyWelfare(MOHFW) 2021,Recurrence of pulmonary tuberculosis in India: Findings from the 2019-2021 nationwide community-based TB prevalence survey,National TB Prevalence Survey in India,2021,India,National prevalence survey,Nationally representative,India (National)
26862,MinistryofHealth|Lesotho 2019,Lesotho Tuberculosis Prevalence Survey,"Policy and programmatic directions for the Lesotho tuberculosis programme: Findings of the national tuberculosis prevalence survey, 2019",2023,Lesotho,National,Nationally representative,Lesotho (National)
26861,MinistryofPublicHealthofKorea 2017,"Report of DPRK National TBPrevalence Survey(2015–2016)","Report of DPRK National TB Prevalence Survey (2015–2016)
",2017,Democratic People's Republic of Korea,N/A,Nationally representative,DPR Korea (National)
26860,Ministryofhealth|RepublicofKenya 2018,KENYA TUBERCULOSIS PREVALENCE SURVEY,Kenya Tuberculosis Prevalence Survey,2018,Kenya,National,Nationally representative,Kenya (National)
26859,InstituteofEpidemiology 2016,"National Tuberculosis Prevalence Survey, Bangladesh2015-2016National",National Tuberculosis Prevalence Survey Bangladesh 2015-2016,N/A,Bangladesh,Bangladesh is one of the 30 high burden countries for Tuberculosis ,Nationally representative,Bangladesh (National) 
26858,"NationalInstituteofHealthResearchandDevelopmentofIndonesia june, 2015",Results from the national TB prevalence survey of Indonesia,"
Indonesia Tuberculosis Prevalence Survey 2013–2014",2015,Indonesia,National,Nationally representative,Indonesia (National) 
26857,REPUBLICOFZIMBABWEMINISTRYOFHEALTHANDCHILDCARE 2014,The Zimbabwe National Population based Tuberculosis Prevalence Survey,The Zimbabwe National Population based Tuberculosis Prevalence Survey Report,2014,Zimbabwe,National,Nationally representative,Zimbabwe (National)
26856,HealthministryofSouthAfrica 2022,The First National TB Prevalence Survey | South Africa 2018,"Prevalence of bacteriologically confirmed pulmonary tuberculosis in South Africa, 2017–19: a multistage, 
cluster-based, cross-sectional survey",2022,South Africa,National prevalence survey,Nationally representative,South Africa (National)
26740,Zhang 2019,Prevalence and risk factors of active pulmonary tuberculosis among elderly people in China: a population based cross-sectional study,Prevalence and risk factors of active pulmonary tuberculosis among elderly people in China: a population based cross-sectional study,2019,China,"Sichuan, Guangxi, Yunnan of western China,
Heilongjiang, Henan, Hubei of central China, Zhejiang,
Jiangsu, Guangdong of eastern China, and Shanghai",Multiple areas (but not nationally representative),China (Multiple Areas)
26522,Wong 2021,"Convergence of infectious and non-communicable disease epidemics in rural South Africa: a cross-sectional, population-based multimorbidity study","Convergence of infectious and non-communicable disease  epidemics in rural South Africa: a cross-sectional, population-based multimorbidity study ",2021,South Africa,"The district is typical of rural South Africa,  with approximately 100% of individuals of Black African descent, 58% of adults unemployed, and 66% with 
access to piped water in their home","Single area (e.g., province, district, city)",South Africa (Kwazulu Natal)
26237,Ur-Rehman 2020,Estimation of the burden of bacteriologically positive Tuberculosis among Adults in Kashmir: A baseline for future surveys in the Valley,Estimation of the burden of bacteriologically positive Tuberculosis among Adults in Kashmir: A baseline for future surveys in the Valley,2020,India,"After acquiring formal approval from the institutional ethical 
Committee of Director Health Services Kashmir, this 
cross‑sectional study was conducted in 10 districts of Kashmir 
valley from June to August 2017","Single area (e.g., province, district, city)",India (Kashmir Valley)
26096,Thomas 2021,Prevalence of pulmonary tuberculosis among the tribal populations in India,Prevalence of pulmonary tuberculosis among the tribal populations in India,2021,India,"Districts (with >70% tribal majority populations) were
listed along with the list of villages in these tribal districts",Other: Nationally representative of tribal populations,India (National Tribal) 
25244,Rao 2019,"Declining tuberculosis prevalence in Saharia, a particularly vulnerable tribal community in Central India: evidences for action","Declining tuberculosis prevalence in Saharia, a particularly vulnerable tribal community in Central India: evidences for action",2019,India,"Saharia is the main tribal community in Shivpuri district, northwest Madhya Pradesh in central India. They generally inhabit small clusters of houses - a hamlet called as ‘Saharana’ outside the main village. Villages were covered as the primary sampling units. Of the total 254 villages in Pohri Block, 128 were Saharia dominated (> 70% Saharia population) villages and 45 villages were randomly selected from these villages. Additional eight adjoining Saharia villages were also selected during the baseline survey to cover the sample of 9225 individuals.","Single area (e.g., province, district, city)",India (Saharia Tribal) 
25143,Purty 2019,"Burden of Pulmonary Tuberculosis among Tribal Population: A Cross-sectional Study in Tribal Areas of Maharashtra, India","Burden of Pulmonary Tuberculosis among Tribal Population: 
A Cross‑sectional Study in Tribal Areas of Maharashtra, India",2019,India,"The tribal population (scheduled tribes) is estimated as 104.54 
million, 8.6% of the India’s total population (2011 Census).[4]
There are certain tribal communities in India who have declining 
or stagnant population, preagricultural level of technology, low 
level of literacy and are economically backward, such groups 
have been identified and categorized as particularly vulnerable 
tribal groups.[5,6] Due to the poor health services and lack of 
awareness, they are vulnerable or at risk to many diseases 
including TB. ","Single area (e.g., province, district, city)",India (Maharashtra Tribal)
24644,Nguyen 2020,The second national tuberculosis prevalence survey in Vietnam,The second national tuberculosis prevalence survey in Vietnam,2020,Vietnam,"A cross-sectional survey based on multistage cluster sampling was conducted between October
2017 and February 2018",Nationally representative,Viet Nam (National)
24214,Mijiti 2016,"Prevalence of pulmonary tuberculosis in western China in 2010-11: a population-based, cross-sectional survey","Prevalence of pulmonary tuberculosis in western China in 2010–11: a population-based, cross-sectional survey",2016,China,"The Xinjiang Uyghur Autonomous Region (Xinjiang) is 
located in northwestern China, with international borders 
with Russia, Mongolia, Kazakhstan, Kyrgyzstan, Tajikistan, 
Afghanistan, Pakistan, and India, with a population of 
20 million people and 13 ethnic minorities. It is one of the 
provinces known to have a high burden of tuberculosis","Single area (e.g., province, district, city)",China (Xinjiang Uyghur Region)
24181,Merid 2019,Population-based screening for pulmonary tuberculosis utilizing community health workers in Ethiopia,Population-based screening for pulmonary tuberculosis utilizing community health workers in Ethiopia,2019,Ethiopia,"A cross-sectional study was performed in the Hawassa Zuria Woreda (a rural district), in the Sidama zone of southern Ethiopia.The health service coverage of the Woreda is 80% (accessible health service is defined as having a health facility within two hours walking distance). For this study, three health centres were selected in the district with a functional PHUC.","Single area (e.g., province, district, city)",Ethiopia (Hawassa Zuria District) 
22718,Hamusse 2017,"Prevalence and Incidence of Smear-Positive Pulmonary Tuberculosis in the Hetosa District of Arsi Zone, Oromia Regional State of Central Ethiopia","Prevalence and Incidence of Smear-Positive Pulmonary Tuberculosis in the Hetosa District of Arsi Zone, Oromia Regional State of Central Ethiopia",2017,Ethiopia,"The Hetosa District is one of the 25 districts of Arsi Zone, Oromia Regional State of Central Ethiopia. The district is typical of the zone in terms of population density, socio–cultural and economic state, and demographic conditions. Therefore, it is expected that the results could be generalized to the whole zone. Based on the 2007 Census Projection, the district has an estimated population of 178,229 living in one urban and 23 rural kebeles (the smallest administrative unit in the government structure) where an average of 2.7 adults were living in each household [19]. Since 2010, each kebele in the district has been further divided into six sub-kebeles
in the rural areas and 10 sub-kebeles in the urban centres. The sub-kebeles are known as garees. The garees of the district total to148 (138 from rural and 10 from urban kebeles) [20]. This study was carried out in 49 randomly selected garees (clusters).","Single area (e.g., province, district, city)",Ethiopia (Hetosa District) 
22290,Feasey 2023,"Prevalence of Bacteriologically-Confirmed Tuberculosis in Urban Blantyre, Malawi 2019-20: Substantial Decline Compared to 2013-14 National Survey","Prevalence of bacteriologically-confirmed pulmonary tuberculosis in urban Blantyre, Malawi 2019–20: Substantial decline compared to 2013–14 national survey",2023,Malawi,"middle- to high-density residential areas of Blantyre, Malawi: Blantyre City is located in the Southern Region of Malawi, and has a population of approximately 800,250 mostly living in several informal urban settlements built on underserviced land.","Single area (e.g., province, district, city)",Malawi (Blantyre)
22089,Dolla 2021,"Prevalence of bacteriologically confirmed pulmonary tuberculosis and associated risk factors: A community survey in Thirvallur District, south India","Prevalence of bacteriologically confirmed pulmonary tuberculosis and associated risk factors: A community survey in Thirvallur District, South India",2021,India,Thiruvallur is located about 50 kilometres from Chennai and includes five administrative blocks. Community-based cross-sectional study was planned in the villages/urban areas in the five blocks of Thiruvallur district. ,"Single area (e.g., province, district, city)",India (Tiruvallur District)
21934,Datiko 2019,Sub-national prevalence survey of tuberculosis in rural communities of Ethiopia,Sub-national prevalence survey of tuberculosis in rural communities of Ethiopia,2019,Ethiopia,Three rural districts of southern Ethiopia.,Multiple areas (but not nationally representative),Ethiopia (Multiple Areas)
21508,Bonsu 2020,"National population-based tuberculosis prevalence survey in Ghana, 2013","National population-based tuberculosis prevalence survey in Ghana, 2013",2020,Ghana,"nation-wide, 98 clusters 53 from urban and 45 from rural areas.",Nationally representative,Ghana (National)
21429,Bhat 2022,"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","High incidence of pulmonary tuberculosis in
an indigenous Saharia tribe in Madhya
Pradesh, central India—A prospective cohort
study",2022,India,"Pohari block of Shivpuri district, in the Saharia Tribal population in Madhya Pradesh.  It is one of the most vulnerable populations suffering
from poverty and unhygienic/ overcrowded living conditions. ","Single area (e.g., province, district, city)","India (Pohari Block, Shivpuri District)"
21428,Bhat 2022,Persistent high prevalence of pulmonary tuberculosis in a resource-limited setting: threat to India's TB Free campaign,Persistent high prevalence of pulmonary tuberculosis in a resource-limited setting: threat to India’s TB Free campaign,2022,India,"The Saharia tribe mainly resides in seven districts of the
Gwalior and Chambal divisions of Madhya Pradesh (Morena,
Sheopur, Bhind, Gwalior, Datia, Shivpuri and Ashok Nagar)",Multiple areas (but not nationally representative),India (Saharia Tribal) 
21313,Banti 2023,Prevalence and incidence of symptomatic pulmonary tuberculosis based on repeated population screening in a district in Ethiopia: a prospective cohort study,Prevalence and incidence of symptomatic pulmonary tuberculosis based on repeated population screening in a district in Ethiopia: a prospective cohort study,2023,Ethiopia,"Dale district of southern Ethiopia, a densely populated rural community with 10 health centres, 2 clinics and 36 health posts; TB care follows the End TB strategy.","Single area (e.g., province, district, city)",Ethiopia (Dale District) 
20811,Adetifa 2016,"A tuberculosis nationwide prevalence survey in Gambia, 2012","A tuberculosis nationwide prevalence survey in Gambia, 2012",2016,Gambia,"Saharan Africa, with 28% (9.6 million) of all notified tuberculosis  cases in 2014, has a disproportionate burden of the disease. In Gambia,
 the estimated incidence and
prevalence of tuberculosis rose from 258 and 350 per 100 000
population respectively in 1990 to 284 and 490 per 100 000 in
2011.
",Nationally representative,The Gambia (National)